"# code","name","Link"
"DEB","Deb","www.protecdirect.co.uk/c/DEB"
"3M","3M","www.protecdirect.co.uk/c/3M"
"3MEAR","3M E-A-R","www.protecdirect.co.uk/c/3MEAR"
"3MPELTOR","3M Peltor","www.protecdirect.co.uk/c/3MPELTOR"
"ANSELL","Ansell","www.protecdirect.co.uk/c/ANSELL"
"BOLLE","Bolle","www.protecdirect.co.uk/c/BOLLE"
"CALEDONIA","Caledonia","www.protecdirect.co.uk/c/CALEDONIA"
"CATERPILLAR","Caterpillar","www.protecdirect.co.uk/c/CATERPILLAR"
"CENTURION","Centurion","www.protecdirect.co.uk/c/CENTURION"
"DEWALT","Dewalt","www.protecdirect.co.uk/c/DEWALT"
"DOMESTOS","Domestos","www.protecdirect.co.uk/c/DOMESTOS"
"DRAEGER","Draeger","www.protecdirect.co.uk/c/DRAEGER"
"DRAPER","Draper","www.protecdirect.co.uk/c/DRAPER"
"DUNLOP","Dunlop","www.protecdirect.co.uk/c/DUNLOP"
"DUPONTTYVEK","DuPont Tyvek","www.protecdirect.co.uk/c/DUPONTTYVEK"
"EUROTEC","Eurotec","www.protecdirect.co.uk/c/EUROTEC"
"EVERBUILD","Everbuild","www.protecdirect.co.uk/c/EVERBUILD"
"GLADE","Glade","www.protecdirect.co.uk/c/GLADE"
"GOLIATH","Goliath","www.protecdirect.co.uk/c/GOLIATH"
"HONEYWELL","Honeywell","www.protecdirect.co.uk/c/HONEYWELL"
"IMPACTO","Impacto","www.protecdirect.co.uk/c/IMPACTO"
"JACTONE","Jactone","www.protecdirect.co.uk/c/JACTONE"
"JCB","JCB","www.protecdirect.co.uk/c/JCB"
"JEYES","Jeyes","www.protecdirect.co.uk/c/JEYES"
"FENTEX","Fentex","www.protecdirect.co.uk/c/FENTEX"
"MARIGOLD","Marigold","www.protecdirect.co.uk/c/MARIGOLD"
"MILLER","Miller","www.protecdirect.co.uk/c/MILLER"
"MOLDEX","Moldex","www.protecdirect.co.uk/c/MOLDEX"
"NORTH","North","www.protecdirect.co.uk/c/NORTH"
"PAL","PAL","www.protecdirect.co.uk/c/PAL"
"PLEDGE","Pledge","www.protecdirect.co.uk/c/PLEDGE"
"POLYCO","Polyco","www.protecdirect.co.uk/c/POLYCO"
"PORTWEST","Portwest","www.protecdirect.co.uk/c/PORTWEST"
"PROBAN","Proban","www.protecdirect.co.uk/c/PROBAN"
"PROTECTOR","Protector","www.protecdirect.co.uk/c/PROTECTOR"
"PROTEX","Protex","www.protecdirect.co.uk/c/PROTEX"
"REGATTA","Regatta Professional","www.protecdirect.co.uk/c/REGATTA"
"RESPAIR","Respair","www.protecdirect.co.uk/c/RESPAIR"
"ROCKFALL","Rock Fall","www.protecdirect.co.uk/c/ROCKFALL"
"SCOTT","Scott","www.protecdirect.co.uk/c/SCOTT"
"SHOWA","Showa","www.protecdirect.co.uk/c/SHOWA"
"SIOEN","Sioen","www.protecdirect.co.uk/c/SIOEN"
"SKYTEC","Skytec","www.protecdirect.co.uk/c/SKYTEC"
"SUPERTOUCH","Supertouch","www.protecdirect.co.uk/c/SUPERTOUCH"
"TIMBERLAND","Timberland PRO Series","www.protecdirect.co.uk/c/TIMBERLAND"
"TRAFFIGLOVE","TraffiGlove","www.protecdirect.co.uk/c/TRAFFIGLOVE"
"UNEEK","Uneek","www.protecdirect.co.uk/c/UNEEK"
"UPOWER","U-Power","www.protecdirect.co.uk/c/UPOWER"
"UVEX","Uvex","www.protecdirect.co.uk/c/UVEX"
"VARTA","Varta","www.protecdirect.co.uk/c/VARTA"
"CLEANMACHINE","Clean Machine","www.protecdirect.co.uk/c/CLEANMACHINE"
"DRMARTENS","Dr Martens","www.protecdirect.co.uk/c/DRMARTENS"
"DUPONTPROSHIELD","DuPont Proshield","www.protecdirect.co.uk/c/DUPONTPROSHIELD"
"HELLYHANSEN","Helly Hansen","www.protecdirect.co.uk/c/HELLYHANSEN"
"JSPLIMITED","JSP Limited","www.protecdirect.co.uk/c/JSPLIMITED"
"KIMBERLYCLARK","Kimberly-Clark","www.protecdirect.co.uk/c/KIMBERLYCLARK"
"RICHARDCARTER","Richard Carter","www.protecdirect.co.uk/c/RICHARDCARTER"
"SCAFFTAGLTD","Scafftag Ltd","www.protecdirect.co.uk/c/SCAFFTAGLTD"
"TOILETDUCK","Toilet Duck","www.protecdirect.co.uk/c/TOILETDUCK"
"KEEPSAFE","Keepsafe","www.protecdirect.co.uk/c/KEEPSAFE"
"WD40","WD40","www.protecdirect.co.uk/c/WD40"
"MOTOROLA","Motorola","www.protecdirect.co.uk/c/MOTOROLA"
"BULLSEYE","Bulls Eye","www.protecdirect.co.uk/c/BULLSEYE"
"TUF","Tuf","www.protecdirect.co.uk/c/TUF"
"EXCLUSIVEBRAND","Exclusive Brand","www.protecdirect.co.uk/c/EXCLUSIVEBRAND"
"PROMAN","Pro-Man","www.protecdirect.co.uk/c/PROMAN"
"TOMCAT","Tomcat","www.protecdirect.co.uk/c/TOMCAT"
"V12","V12","www.protecdirect.co.uk/c/V12"
"RELIANCE","Reliance","www.protecdirect.co.uk/c/RELIANCE"
"VIXEN","Vixen","www.protecdirect.co.uk/c/VIXEN"
"DUPONTEASYSAFE","DuPont Easysafe","www.protecdirect.co.uk/c/DUPONTEASYSAFE"
"TUFREVOLUTION","Tuf Revolution","www.protecdirect.co.uk/c/TUFREVOLUTION"
"JUBA","Juba","www.protecdirect.co.uk/c/JUBA"
"REGATTAHARDWEAR","Regatta Hardwear","www.protecdirect.co.uk/c/REGATTAHARDWEAR"
"STANLEY","Stanley","www.protecdirect.co.uk/c/STANLEY"
"VAX","Vax Commercial","www.protecdirect.co.uk/c/VAX"
"ELIPSE","Elipse","www.protecdirect.co.uk/c/ELIPSE"
"MUREANDPEYROT","Mure & Peyrot","www.protecdirect.co.uk/c/MUREANDPEYROT"
"UBIN","uBin","www.protecdirect.co.uk/c/UBIN"
"DICKIES","Dickies","www.protecdirect.co.uk/c/DICKIES"
"WORKWELL","Work Well Mats","www.protecdirect.co.uk/c/WORKWELL"
"ARMORGARD","Armorgard","www.protecdirect.co.uk/c/ARMORGARD"
"TUFPRO","Tuf Pro","www.protecdirect.co.uk/c/TUFPRO"
"TUFXT","Tuf XT","www.protecdirect.co.uk/c/TUFXT"
"DIRTEEZE","Dirteeze","www.protecdirect.co.uk/c/DIRTEEZE"
"2TECH","2Tech","www.protecdirect.co.uk/c/2TECH"
"EXERTIS","Exertis","www.protecdirect.co.uk/c/EXERTIS"
"VIEWQUEST","View Quest","www.protecdirect.co.uk/c/VIEWQUEST"
"PILOT","Pilot","www.protecdirect.co.uk/c/PILOT"
